available;categoryId;currencyId;description;id;local_delivery_cost;modified_time;name;oldprice;param;picture;price;type;url;vendor
true;flips flops;USD;"Style:Chic
Type:Flip Flops
Pattern Type:Floral
Decoration:Cutout
Occasion:Daily
Toe:Round Toe,Toe Post
Heel Height:Flat
Package Include:1*Flip Flops


 
 
  About This Item 
   
   From braided leather and Floral Pattern to rhinestone designs, these flip flops offer a variety of bright and stylish flat slippers to choose from for the perfect fashion statement. 
   Perfect for beach or beach style, these flip-flop sandals feature a classic lace-up style with a soft footbed and grippy traction sole. 
   Suitable for various occasions, such as vacation, shopping, daily life and outdoor activities. 
   
 
";1a27abc3-cf44-4d79-8235-2f58be0b2f60;0.0;1727888384;Floral Pattern Flip Flops Comfortable Casual Summer Beach Slippers;;color:black|size:US11.5,US8.5,US9.5,US12,US7,US11,US6,US5.5,US8;https://image.geeko.ltd/original/1a27abc3-cf44-4d79-8235-2f58be0b2f60;18.0;;https://heqgr.com/g/68eif155721e88db6f1138a0bfaa27/?f_id=25189&ulp=https%3A%2F%2Fwww.boutiquefeel.com%2Fpc%2Fproduct_detail%3FproductId%3D1a27abc3-cf44-4d79-8235-2f58be0b2f60%26utm_source%3Dadmitad%26utm_currency%3DUSD;boutiquefeel
true;Sneakers;USD;"Style:Casual
Type:Sneakers
Material:Canvas
Pattern Type:All Over Print
Decoration:Eyelet,Lace-up
Occasion:Daily
Toe:Round Toe
Heel Height:Flat
Package Include:1*Sneakers(Without Anklet)


 
 
";1e2cdae2-0d3c-460d-9356-2c47112cb081;0.0;1727888384;Denim Look Print Raw Hem Eyelet Lace-up Sneakers;;color:blue|size:US8.5,US9.5,US7,US6,US11,US10,US8;https://image.geeko.ltd/original/1e2cdae2-0d3c-460d-9356-2c47112cb081;27.0;;https://heqgr.com/g/68eif155721e88db6f1138a0bfaa27/?f_id=25189&ulp=https%3A%2F%2Fwww.boutiquefeel.com%2Fpc%2Fproduct_detail%3FproductId%3D1e2cdae2-0d3c-460d-9356-2c47112cb081%26utm_source%3Dadmitad%26utm_currency%3DUSD;boutiquefeel
true;Slip-on;USD;"Style:Casual
Type:Slip-On
Pattern Type:Houndstooth
Occasion:Daily
Toe:Round Toe
Heel Height:Flat
Package Include:1*Loafers


 
 
";40b8d83a-f9af-4711-8cbb-3aaf916aeb13;0.0;1727888384;Houndstooth Breathable Casual Loafers;;color:khaki|size:US8.5,US9.5,US7,US11,US6,US10,US8;https://image.geeko.ltd/original/40b8d83a-f9af-4711-8cbb-3aaf916aeb13;20.0;;https://heqgr.com/g/68eif155721e88db6f1138a0bfaa27/?f_id=25189&ulp=https%3A%2F%2Fwww.boutiquefeel.com%2Fpc%2Fproduct_detail%3FproductId%3D40b8d83a-f9af-4711-8cbb-3aaf916aeb13%26utm_source%3Dadmitad%26utm_currency%3DUSD;boutiquefeel
true;Sneakers;USD;"Style:Chic
Type:Sneakers
Material:Canvas
Pattern Type:Floral
Occasion:Daily
Toe:Round Toe
Heel Height:Flat
Package Include:1*Sneakers


 
 
";a2a75b59-27a8-44e3-a4bf-d994e7e6ce5f;0.0;1727888384;Floral Print Lace-up Fringe Hem Sneakers;;color:pink|size:US8.5,US9.5,US7,US6,US11,US10,US8;https://image.geeko.ltd/original/a2a75b59-27a8-44e3-a4bf-d994e7e6ce5f;29.0;;https://heqgr.com/g/68eif155721e88db6f1138a0bfaa27/?f_id=25189&ulp=https%3A%2F%2Fwww.boutiquefeel.com%2Fpc%2Fproduct_detail%3FproductId%3Da2a75b59-27a8-44e3-a4bf-d994e7e6ce5f%26utm_source%3Dadmitad%26utm_currency%3DUSD;boutiquefeel
true;Flats-Sandals;USD;"Style:Chic
Type:Flat Sandals
Pattern Type:Plain
Occasion:Beach,Daily,Vacation
Toe:Peep Toe
Heel Height:Flat
Package Include:1*Sandals


 
 
";86be3043-9e8e-429d-b379-51f307abcb59;0.0;1727888384;Bowknot Design Peep Toe Sandals;;color:Apricot|size:US8.5,US9.5,US7,US6,US11,US10,US8;https://image.geeko.ltd/original/86be3043-9e8e-429d-b379-51f307abcb59;23.0;;https://heqgr.com/g/68eif155721e88db6f1138a0bfaa27/?f_id=25189&ulp=https%3A%2F%2Fwww.boutiquefeel.com%2Fpc%2Fproduct_detail%3FproductId%3D86be3043-9e8e-429d-b379-51f307abcb59%26utm_source%3Dadmitad%26utm_currency%3DUSD;boutiquefeel
true;flips flops;USD;"Style:Chic
Type:Flip Flops
Pattern Type:Floral
Decoration:Cutout
Occasion:Daily
Toe:Round Toe,Toe Post
Heel Height:Flat
Package Include:1*Flip Flops


 
 
  About This Item 
   
   From braided leather and Floral Pattern to rhinestone designs, these flip flops offer a variety of bright and stylish flat slippers to choose from for the perfect fashion statement. 
   Perfect for beach or beach style, these flip-flop sandals feature a classic lace-up style with a soft footbed and grippy traction sole. 
   Suitable for various occasions, such as vacation, shopping, daily life and outdoor activities. 
   
 
";c7b2c173-b0c3-49c0-aeb6-a013a4e73bd2;0.0;1727888384;Floral Pattern Flip Flops Comfortable Casual Summer Beach Slippers;;color:silver|size:US11.5,US8.5,US9.5,US12,US7,US11,US6,US5.5,US8;https://image.geeko.ltd/original/c7b2c173-b0c3-49c0-aeb6-a013a4e73bd2;18.0;;https://heqgr.com/g/68eif155721e88db6f1138a0bfaa27/?f_id=25189&ulp=https%3A%2F%2Fwww.boutiquefeel.com%2Fpc%2Fproduct_detail%3FproductId%3Dc7b2c173-b0c3-49c0-aeb6-a013a4e73bd2%26utm_source%3Dadmitad%26utm_currency%3DUSD;boutiquefeel
true;Flats-Sandals;USD;"Style:Chic
Type:Flat Sandals
Pattern Type:Star
Decoration:Fringe,Zipper
Occasion:Daily
Toe:Round Toe,Toe Post
Heel Height:Flat
Package Include:1*Sandals


 
 
";f2f60264-90c0-4586-ba3c-b918b08b031a;0.0;1727888384;Star Print Studded Fringe Hem Sandals;;color:black|size:US8.5,US9.5,US11,US6,US10,US8;https://image.geeko.ltd/original/f2f60264-90c0-4586-ba3c-b918b08b031a;25.0;;https://heqgr.com/g/68eif155721e88db6f1138a0bfaa27/?f_id=25189&ulp=https%3A%2F%2Fwww.boutiquefeel.com%2Fpc%2Fproduct_detail%3FproductId%3Df2f60264-90c0-4586-ba3c-b918b08b031a%26utm_source%3Dadmitad%26utm_currency%3DUSD;boutiquefeel
true;Flats-Sandals;USD;"Style:Chic
Type:Flat Sandals
Pattern Type:Plain
Occasion:Beach,Daily,Vacation
Toe:Peep Toe
Heel Height:Flat
Package Include:1*Sandals


 
 
";eef01b1f-3a64-4e01-bbbf-d700911f57ed;0.0;1727888384;Bowknot Design Peep Toe Sandals;;color:black|size:US8.5,US9.5,US7,US6,US11,US10;https://image.geeko.ltd/original/eef01b1f-3a64-4e01-bbbf-d700911f57ed;23.0;;https://heqgr.com/g/68eif155721e88db6f1138a0bfaa27/?f_id=25189&ulp=https%3A%2F%2Fwww.boutiquefeel.com%2Fpc%2Fproduct_detail%3FproductId%3Deef01b1f-3a64-4e01-bbbf-d700911f57ed%26utm_source%3Dadmitad%26utm_currency%3DUSD;boutiquefeel
true;Flats-Sandals;USD;"Style:Chic
Type:Flat Sandals
Pattern Type:Star
Decoration:Fringe,Zipper
Occasion:Daily
Toe:Round Toe,Toe Post
Heel Height:Flat
Package Include:1*Sandals


 
 
";bde56d72-e6ba-42f6-9831-55e686257de7;0.0;1727888384;Star Print Studded Fringe Hem Sandals;;color:beige|size:US8.5,US9.5,US7,US11,US6,US10,US8;https://image.geeko.ltd/original/bde56d72-e6ba-42f6-9831-55e686257de7;25.0;;https://heqgr.com/g/68eif155721e88db6f1138a0bfaa27/?f_id=25189&ulp=https%3A%2F%2Fwww.boutiquefeel.com%2Fpc%2Fproduct_detail%3FproductId%3Dbde56d72-e6ba-42f6-9831-55e686257de7%26utm_source%3Dadmitad%26utm_currency%3DUSD;boutiquefeel
true;Flats-Sandals;USD;"Style:Chic
Type:Flat Sandals
Pattern Type:Star
Decoration:Fringe,Zipper
Occasion:Daily
Toe:Round Toe,Toe Post
Heel Height:Flat
Package Include:1*Sandals


 
 
";d0bbeb05-3e94-4f10-81ff-dd266c662df1;0.0;1727888384;Star Print Studded Fringe Hem Sandals;;color:blue|size:US8.5,US9.5,US7,US11,US6,US10,US8;https://image.geeko.ltd/original/d0bbeb05-3e94-4f10-81ff-dd266c662df1;25.0;;https://heqgr.com/g/68eif155721e88db6f1138a0bfaa27/?f_id=25189&ulp=https%3A%2F%2Fwww.boutiquefeel.com%2Fpc%2Fproduct_detail%3FproductId%3Dd0bbeb05-3e94-4f10-81ff-dd266c662df1%26utm_source%3Dadmitad%26utm_currency%3DUSD;boutiquefeel
